n_neightbors,weights,algorithm,leaf_size,p,metric,Accuracy
2,uniform,ball_tree,30,2,cityblock,0.6213073509013141
2,uniform,ball_tree,30,2,euclidean,0.6213555537927012
2,uniform,ball_tree,30,2,l2,0.6213555537927012
2,uniform,ball_tree,30,2,manhattan,0.6213073509013141
2,uniform,kd_tree,30,2,cityblock,0.6213870716845542
2,uniform,kd_tree,30,2,euclidean,0.6214148809451585
2,uniform,kd_tree,30,2,l2,0.6214148809451585
2,uniform,kd_tree,30,2,manhattan,0.6213870716845542
2,uniform,brute,30,2,cityblock,0.6215261179703898
2,uniform,brute,30,2,euclidean,0.6215557813661649
2,uniform,brute,30,2,l2,0.6215557813661649
2,uniform,brute,30,2,manhattan,0.6215261179703898
2,distance,ball_tree,30,2,cityblock,0.6123452408569519
2,distance,ball_tree,30,2,euclidean,0.6121932145765719
2,distance,ball_tree,30,2,l2,0.6121932145765719
2,distance,ball_tree,30,2,manhattan,0.6123452408569519
2,distance,kd_tree,30,2,cityblock,0.612335970885727
2,distance,kd_tree,30,2,euclidean,0.612195068488324
2,distance,kd_tree,30,2,l2,0.612195068488324
2,distance,kd_tree,30,2,manhattan,0.612335970885727
2,distance,brute,30,2,cityblock,0.6122284398107191
2,distance,brute,30,2,euclidean,0.612096807436099
2,distance,brute,30,2,l2,0.612096807436099
2,distance,brute,30,2,manhattan,0.6122284398107191
5,uniform,ball_tree,30,2,cityblock,0.6430915408016327
5,uniform,ball_tree,30,2,euclidean,0.6428468155651909
5,uniform,ball_tree,30,2,l2,0.6428468155651909
5,uniform,ball_tree,30,2,manhattan,0.6430915408016327
5,uniform,kd_tree,30,2,cityblock,0.6431508676791131
5,uniform,kd_tree,30,2,euclidean,0.6426577113591223
5,uniform,kd_tree,30,2,l2,0.6426577113591223
5,uniform,kd_tree,30,2,manhattan,0.6431508676791131
5,uniform,brute,30,2,cityblock,0.6436069446641582
5,uniform,brute,30,2,euclidean,0.6432695208153755
5,uniform,brute,30,2,l2,0.6432695208153755
5,uniform,brute,30,2,manhattan,0.6436069446641582
5,distance,ball_tree,30,2,cityblock,0.6149574878957047
5,distance,ball_tree,30,2,euclidean,0.6147757983570383
5,distance,ball_tree,30,2,l2,0.6147757983570383
5,distance,ball_tree,30,2,manhattan,0.6149574878957047
5,distance,kd_tree,30,2,cityblock,0.6148629351825654
5,distance,kd_tree,30,2,euclidean,0.6147109090053019
5,distance,kd_tree,30,2,l2,0.6147109090053019
5,distance,kd_tree,30,2,manhattan,0.6148629351825654
5,distance,brute,30,2,cityblock,0.6149185543052861
5,distance,brute,30,2,euclidean,0.6148036073426658
5,distance,brute,30,2,l2,0.6148036073426658
5,distance,brute,30,2,manhattan,0.6149185543052861
10,uniform,ball_tree,30,2,cityblock,0.6535961553490681
10,uniform,ball_tree,30,2,euclidean,0.652470793501621
10,uniform,ball_tree,30,2,l2,0.652470793501621
10,uniform,ball_tree,30,2,manhattan,0.6535961553490681
10,uniform,kd_tree,30,2,cityblock,0.6533922177694713
10,uniform,kd_tree,30,2,euclidean,0.6524262977978534
10,uniform,kd_tree,30,2,l2,0.6524262977978534
10,uniform,kd_tree,30,2,manhattan,0.6533922177694713
10,uniform,brute,30,2,cityblock,0.6533124977252317
10,uniform,brute,30,2,euclidean,0.6521723039478853
10,uniform,brute,30,2,l2,0.6521723039478853
10,uniform,brute,30,2,manhattan,0.6533124977252317
10,distance,ball_tree,30,2,cityblock,0.6160939732824074
10,distance,ball_tree,30,2,euclidean,0.615903014545889
10,distance,ball_tree,30,2,l2,0.615903014545889
10,distance,ball_tree,30,2,manhattan,0.6160939732824074
10,distance,kd_tree,30,2,cityblock,0.6161032435114233
10,distance,kd_tree,30,2,euclidean,0.6158807668143076
10,distance,kd_tree,30,2,l2,0.6158807668143076
10,distance,kd_tree,30,2,manhattan,0.6161032435114233
10,distance,brute,30,2,cityblock,0.6161254910711441
10,distance,brute,30,2,euclidean,0.6158955985036021
10,distance,brute,30,2,l2,0.6158955985036021
10,distance,brute,30,2,manhattan,0.6161254910711441
